,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
58,Henties Bay,0,NA,1562653533,17,-22.12,14.28,73.0,14.0
59,Isangel,20,VU,1562653535,50,-19.55,169.27,75.2,5.82
60,Puerto Ayora,39,EC,1562653536,83,-0.74,-90.35,70.42,11.72
61,Barrow,67,AR,1562653538,83,-38.31,-60.23,43.78,8.66
62,Busselton,52,AU,1562653539,43,-33.64,115.35,64.0,18.48
63,Sulangan,0,PH,1562653541,67,11.14,123.72,85.36,2.86
64,Morant Bay,40,JM,1562653542,69,17.88,-76.41,80.6,18.34
65,Bonavista,0,CA,1562653544,61,48.65,-53.11,61.0,13.0
66,Tommot,100,RU,1562653545,63,58.97,126.27,75.64,3.33
67,Jamestown,0,AU,1562653546,59,-33.21,138.6,56.2,9.55
68,Airai,9,TL,1562653548,54,-8.93,125.41,82.3,3.09
69,Tautira,20,PF,1562653549,78,-17.73,-149.15,77.0,1.12
70,Bilibino,96,RU,1562653550,41,68.06,166.44,68.08,5.64
71,Jalu,0,LY,1562653552,28,29.03,21.55,83.74,5.93
72,Vaini,75,IN,1562653553,78,15.34,74.49,78.8,9.17
73,Fairbanks,90,US,1562653304,60,64.84,-147.72,75.2,5.03
74,Carnarvon,0,ZA,1562653556,78,-30.97,22.13,44.14,3.44
75,Lata,60,IN,1562653557,93,30.78,78.62,51.34,6.49
76,Bluff,0,AU,1562653558,48,-23.58,149.07,72.4,5.17
77,Vestmannaeyjar,48,IS,1562653560,77,63.44,-20.27,51.34,12.44
78,Vanimo,99,PG,1562653561,73,-2.67,141.3,83.02,7.61
79,Rio Gallegos,40,AR,1562653557,100,-51.62,-69.22,39.2,3.36
80,Butaritari,42,KI,1562653564,71,3.07,172.79,85.18,7.47
81,Parrita,20,CR,1562653565,94,9.52,-84.33,69.01,4.7
82,Norman Wells,40,CA,1562653566,48,65.28,-126.83,60.8,4.7
83,Khatanga,100,RU,1562653568,80,71.98,102.47,51.34,12.19
84,Poum,20,MK,1562653569,64,41.28,20.71,73.4,0.4
85,Port Alfred,5,ZA,1562653570,80,-33.59,26.89,62.01,5.99
86,Souillac,0,FR,1562653572,52,45.6,-0.6,66.99,16.11
87,Provideniya,0,RU,1562653573,46,64.42,-173.23,73.4,11.18
88,Kaitangata,100,NZ,1562653574,64,-46.28,169.85,50.0,3.0
89,Kahului,40,US,1562653564,78,20.89,-156.47,80.6,18.34
90,Hilo,90,US,1562653577,83,19.71,-155.08,79.0,3.36
91,Kloulklubed,75,PW,1562653582,66,7.04,134.26,86.0,9.17
92,Cabo San Lucas,5,MX,1562653507,30,22.89,-109.91,84.99,5.82
93,Mount Isa,90,AU,1562653586,47,-20.73,139.49,75.2,9.17
94,Nuoro,40,IT,1562653381,65,40.32,9.33,84.99,8.05
95,Saint-Augustin,5,CA,1562653588,67,45.63,-73.98,66.2,3.36
96,Puerto Cabezas,100,NI,1562653590,93,14.04,-83.39,76.54,4.63
97,College,90,US,1562653591,68,64.86,-147.8,73.0,5.03
98,Tingi,36,TZ,1562653592,64,-11.3,35.03,66.46,4.03
99,Panevezys,90,LT,1562653593,93,55.73,24.35,53.6,4.7
100,Ahipara,73,NZ,1562653596,71,-35.17,173.16,57.28,10.33
101,Baherden,31,TM,1562653598,26,38.44,57.43,87.34,7.58
102,Shirokiy,79,RU,1562653599,63,53.87,39.17,66.99,3.0
103,Tura,65,RU,1562653435,68,64.27,100.22,64.3,12.33
104,Nikolskoye,75,RU,1562653601,77,59.7,30.79,60.8,6.71
105,Yulara,0,AU,1562653603,19,-25.24,130.99,75.2,4.7
106,Parichhatgarh,6,IN,1562653604,43,28.98,77.93,98.68,4.52
107,Uyuni,0,BO,1562653605,36,-20.46,-66.82,34.42,1.61
108,Tabou,89,CI,1562653607,91,4.42,-7.36,72.58,4.32
109,West Fargo,20,US,1562653608,100,46.88,-96.9,66.0,12.75
110,Fortuna,90,US,1562653609,87,40.6,-124.16,60.01,3.36
111,Barbastro,95,ES,1562653611,93,42.04,0.13,64.0,3.36
112,Kon Tum,88,VN,1562653612,96,14.36,108.0,76.36,2.01
113,Arraial do Cabo,2,BR,1562653613,79,-22.97,-42.02,61.78,9.78
114,Taft,75,PH,1562653614,84,11.9,125.42,83.38,3.8
115,Mandalgovi,0,MN,1562653616,23,45.76,106.27,78.7,3.58
116,Cidreira,56,BR,1562653618,88,-30.17,-50.22,49.18,3.42
117,Takaka,90,NZ,1562653619,83,-40.86,172.81,50.0,1.99
118,Iguape,52,BR,1562653620,90,-24.7,-47.56,55.66,3.4
119,Teguldet,67,RU,1562653621,41,57.31,88.17,77.62,7.0
120,Narsaq,100,GL,1562653623,24,60.91,-46.05,59.0,21.92
121,Belmonte,1,PT,1562653624,95,40.36,-7.35,60.01,1.99
122,Bandarbeyla,46,SO,1562653626,42,9.49,50.81,89.68,33.11
123,Port Macquarie,0,AU,1562653329,34,-31.43,152.91,66.2,5.82
124,Kamareddi,100,IN,1562653629,74,18.32,78.34,82.3,15.28
125,Gravdal,40,NO,1562653630,76,59.79,5.78,55.99,13.87
126,Pangnirtung,13,CA,1562653632,78,66.15,-65.72,48.1,2.1
127,Kuytun,0,RU,1562653633,51,54.34,101.51,78.52,2.77
128,Hithadhoo,12,MV,1562653634,77,-0.6,73.08,84.1,16.53
129,Hobart,75,AU,1562653636,58,-42.88,147.33,54.0,8.05
130,Vao,100,EE,1562653637,87,59.1,26.19,56.2,10.16
131,Barras,50,BR,1562653638,69,-4.24,-42.29,73.66,4.94
132,Chifeng,100,CN,1562653640,48,42.27,118.96,75.46,11.25
133,Hinton,95,CA,1562653641,96,53.4,-117.57,44.32,1.83
134,Komsomolskiy,99,RU,1562653642,55,67.55,63.78,54.76,8.32
135,Westport,1,US,1562653501,93,41.14,-73.36,69.01,2.04
136,Quatre Cocos,40,MU,1562653645,74,-20.21,57.76,78.8,4.7
137,Maragogi,11,BR,1562653646,97,-9.01,-35.22,68.62,3.22
138,Zhigansk,41,RU,1562653648,48,66.77,123.37,77.8,10.13
139,Saint George,0,GR,1562653383,61,39.45,22.34,84.2,5.82
140,Vardo,1,US,1562653650,93,39.62,-77.74,66.99,1.74
141,Mandal,36,MN,1562653651,33,48.82,106.5,79.06,4.59
142,Rudnaya Pristan,0,RU,1562653653,51,44.36,135.82,72.4,6.13
143,Upernavik,56,GL,1562653654,89,72.79,-56.15,40.72,20.36
144,Staryy Nadym,30,RU,1562653656,51,65.61,72.68,56.02,13.24
145,Saskylakh,57,RU,1562653657,41,71.97,114.09,69.52,9.1
146,Lagoa,0,PT,1562653658,93,37.14,-8.45,66.0,3.36
147,Leszno,20,PL,1562653660,71,51.84,16.57,60.01,9.17
148,Nabire,71,ID,1562653661,73,-3.36,135.5,81.4,2.64
149,Uvira,47,CD,1562653662,75,-3.41,29.14,56.92,2.53
150,Tiarei,20,PF,1562653664,78,-17.53,-149.33,77.0,1.12
151,Denpasar,20,ID,1562653611,74,-8.65,115.22,80.6,17.22
152,Ponerihouen,6,NC,1562653667,71,-21.08,165.4,62.86,4.07
153,Pirenopolis,0,BR,1562653668,82,-15.85,-48.96,59.0,9.17
154,Esperance,40,AU,1562653669,59,-33.86,121.89,60.8,19.46
155,Coahuayana,51,MX,1562653670,77,18.62,-100.35,74.38,1.41
156,Jati,75,PK,1562653672,47,24.35,68.27,95.26,20.89
157,Torrington,1,US,1562653673,72,42.06,-104.18,66.2,3.36
158,Moose Factory,90,CA,1562653674,72,51.26,-80.61,60.8,6.93
159,Iralaya,96,HN,1562653676,92,15.0,-83.23,76.54,3.83
160,Ikryanoye,0,RU,1562653677,35,46.1,47.74,86.0,13.42
161,Saint-Denis,0,FR,1562653679,67,48.94,2.36,60.01,9.17
162,Hermanus,0,ZA,1562653680,89,-34.42,19.24,53.01,12.77
163,Xai-Xai,0,MZ,1562653681,75,-25.04,33.64,63.4,2.8
164,Namibe,0,AO,1562653682,79,-15.19,12.15,67.72,3.69
165,Moa,32,CU,1562653684,96,20.66,-74.95,70.6,2.82
166,Chokurdakh,98,RU,1562653685,40,70.62,147.9,70.06,7.02
167,Areosa,16,PT,1562653687,100,41.72,-8.86,63.0,4.7
168,Dhoraji,95,IN,1562653688,60,21.73,70.45,86.98,16.17
169,Mehamn,20,NO,1562653689,81,71.03,27.85,51.8,11.41
170,Caucaia,75,BR,1562653691,83,-3.73,-38.66,77.0,8.05
171,Alofi,52,NU,1562653692,94,-19.06,-169.92,73.4,2.24
172,Lorengau,100,PG,1562653693,77,-2.02,147.27,82.12,12.8
173,Dikson,100,RU,1562653695,96,73.51,80.55,32.08,13.73
174,Cockburn Town,46,TC,1562653516,80,21.46,-71.14,82.3,21.3
175,Baturaja,7,ID,1562653697,54,-4.12,104.17,88.6,4.07
176,Rome,0,IT,1562653699,83,41.89,12.48,82.0,3.36
177,Fort Nelson,20,CA,1562653700,76,58.81,-122.69,53.6,2.59
178,Jiayuguan,0,CN,1562653701,24,39.77,98.29,76.9,12.12
179,Chapais,1,CA,1562653702,76,49.78,-74.86,51.8,3.36
180,Kodiak,1,US,1562653704,56,39.95,-94.76,77.0,5.82
181,Hasaki,75,JP,1562653705,73,35.73,140.83,72.0,12.75
182,Elat,100,CM,1562653707,98,2.91,11.16,67.18,3.78
183,Sioux Lookout,90,CA,1562653489,93,50.1,-91.92,64.4,6.93
184,Kiruna,91,SE,1562653709,41,67.86,20.23,57.2,8.05
185,Shwebo,100,MM,1562653710,63,22.57,95.7,86.8,12.68
186,Honningsvag,0,NO,1562653712,66,70.98,25.97,51.8,2.24
187,Te Anau,99,NZ,1562653713,83,-45.41,167.72,44.14,3.53
188,Labuhan,31,ID,1562653714,39,-2.54,115.51,90.76,3.87
189,Matagami,100,NG,1562653716,98,9.67,8.4,68.26,1.99
190,Yar-Sale,28,RU,1562653717,48,66.83,70.83,57.1,8.95
191,Karaton,20,ID,1562653718,58,-6.34,106.1,89.01,9.17
192,Lebu,99,ET,1562653720,79,8.96,38.73,62.14,3.62
193,Inhambane,20,MZ,1562653480,88,-23.87,35.38,64.4,4.7
194,Hamilton,40,CA,1562653683,82,43.26,-79.87,66.99,4.7
195,Santa Maria,0,BR,1562653723,93,-16.02,-48.01,55.4,2.24
196,Agdas,40,AZ,1562653725,42,40.65,47.48,86.0,2.24
197,Kenmare,75,IE,1562653727,100,51.88,-9.58,57.2,1.12
198,Toda Raisingh,89,IN,1562653728,61,26.03,75.48,86.62,12.06
199,Vrangel,0,RU,1562653729,48,42.73,133.08,78.34,5.86
200,Morgan City,1,US,1562653730,100,29.7,-91.21,84.0,4.45
201,Vidim,75,CZ,1562653732,62,50.47,14.53,59.0,3.36
202,Zhangjiakou,99,CN,1562653733,38,40.77,114.88,72.4,11.77
203,Parauna,63,ID,1562653734,75,-3.82,122.09,80.68,3.36
204,Green River,1,US,1562653736,66,41.53,-109.47,50.0,8.05
205,Vila,75,IT,1562653737,78,45.18,8.4,75.0,5.82
206,Poli,100,CM,1562653738,97,8.48,13.24,70.06,1.21
207,Pacific Grove,90,US,1562653740,77,36.62,-121.92,60.01,8.05
208,Dodge City,1,US,1562653741,94,37.75,-100.02,75.99,11.41
209,Dunedin,69,NZ,1562653742,78,-45.87,170.5,45.0,1.99
210,Marawi,92,PH,1562653744,79,8.0,124.29,84.0,3.0
211,Asosa,74,ET,1562653745,87,10.07,34.53,70.24,1.97
212,Aklavik,20,CA,1562653685,44,68.22,-135.01,60.8,9.17
213,Tessalit,0,ML,1562653748,13,20.2,1.01,88.78,20.2
214,Marsh Harbour,85,BS,1562653641,72,26.54,-77.06,83.92,18.7
215,Deputatskiy,87,RU,1562653751,67,69.3,139.9,67.36,3.69
216,Ibimirim,65,BR,1562653752,84,-8.54,-37.69,67.36,14.47
217,Faya,0,SA,1562653754,33,18.39,42.45,82.4,13.87
218,Stafford,1,US,1562653755,80,39.71,-74.28,69.01,3.51
219,Faanui,38,PF,1562653756,80,-16.48,-151.75,79.24,17.63
220,Coquimbo,90,CL,1562653758,81,-29.95,-71.34,53.6,3.36
221,Mariental,0,BR,1562653759,97,-25.72,-49.65,46.99,1.43
222,Goderich,0,CA,1562653760,84,43.74,-81.71,68.0,6.04
223,Bulgan,91,MN,1562653762,39,48.81,103.53,74.92,8.43
224,Sayyan,62,YE,1562653763,35,15.17,44.32,81.4,3.6
225,Hambantota,40,LK,1562653764,70,6.12,81.12,89.6,13.87
226,Victoria,75,BN,1562653767,66,5.28,115.24,91.4,4.7
227,Lapua,90,FI,1562653768,71,62.97,23.01,51.01,8.05
228,Kibre Mengist,72,ET,1562653769,94,5.87,38.99,57.28,2.06
229,Keuruu,75,FI,1562653770,81,62.26,24.71,52.0,10.29
230,Matoury,0,GF,1562653772,100,4.85,-52.33,73.4,1.68
231,Pyapon,84,MM,1562653773,69,16.29,95.68,88.78,15.05
232,Alta,0,NO,1562653774,58,69.97,23.27,59.0,3.36
233,Pompeu,0,BR,1562653776,62,-21.05,-48.85,59.0,6.93
234,Zhanakorgan,0,KZ,1562653777,17,43.91,67.25,97.42,19.15
235,Klaksvik,1,FO,1562653779,81,62.23,-6.59,50.0,13.87
236,Shizunai,85,JP,1562653780,81,42.33,142.37,59.08,8.25
237,Husavik,93,CA,1562653781,84,50.56,-96.99,68.0,5.01
238,Basudebpur,98,IN,1562653783,45,21.14,86.74,95.62,14.43
239,Sobolevo,29,RU,1562653784,92,54.43,31.9,52.96,9.31
240,Sarangani,100,PH,1562653785,70,5.4,125.46,81.94,4.74
241,Kuldiga,75,LV,1562653787,87,56.97,21.96,60.8,10.29
242,Tasiilaq,86,GL,1562653788,64,65.61,-37.64,33.8,5.82
243,Thinadhoo,65,MV,1562653789,80,0.53,72.93,84.1,15.95
244,Nanortalik,100,GL,1562653791,60,60.14,-45.24,45.76,4.07
245,Shenzhen,20,CN,1562653792,84,22.54,114.05,95.0,17.9
246,San Rafael,0,AR,1562653759,69,-34.61,-68.33,45.22,5.77
247,Monte Patria,79,CL,1562653794,81,-30.69,-70.96,47.56,0.51
248,Salalah,75,OM,1562653796,74,17.01,54.1,86.0,6.93
249,Phonhong,75,LA,1562653797,55,18.5,102.42,91.4,6.93
250,Kidal,9,ML,1562653799,40,18.44,1.41,87.34,17.25
251,Castro,90,CL,1562653800,100,-42.48,-73.76,50.0,16.11
252,Leningradskiy,36,RU,1562653802,65,69.38,178.42,50.08,11.32
253,Mayo,90,CA,1562653803,33,63.59,-135.9,71.6,6.93
254,Chimbarongo,0,CL,1562653804,100,-34.71,-71.04,39.2,2.24
255,Christchurch,1,NZ,1562653806,70,-43.53,172.64,46.99,3.36
256,Jiblah,66,YE,1562653807,46,13.92,44.15,78.88,4.29
257,Laguna,90,BZ,1562653808,94,16.17,-88.94,77.0,4.7
258,Manzil Salim,0,TN,1562653810,25,35.86,8.48,84.2,2.24
259,Boende,25,CD,1562653811,82,-0.28,20.88,73.3,4.18
260,East London,0,ZA,1562653813,72,-33.02,27.91,60.8,16.11
261,Baruun-Urt,16,MN,1562653814,36,46.68,113.28,78.52,7.9
262,Plyussa,100,RU,1562653815,94,58.42,29.37,54.4,5.37
263,Florianopolis,0,BR,1562653817,93,-27.6,-48.55,53.6,6.93
264,Flin Flon,87,CA,1562653818,48,54.77,-101.88,59.08,5.73
265,Walvis Bay,0,NA,1562653819,11,-22.95,14.51,80.6,18.34
266,Sigli,20,ID,1562653785,45,5.38,95.96,92.92,4.61
267,Kamaishi,75,JP,1562653822,64,39.28,141.86,69.8,14.99
268,General Pico,10,AR,1562653823,88,-35.66,-63.75,42.34,5.95
269,Caravelas,84,BR,1562653824,75,-17.73,-39.27,69.52,13.2
270,Harper,1,US,1562653826,83,30.3,-99.24,80.01,8.05
271,Oktyabrskiy,0,RU,1562653827,55,55.61,37.97,66.2,8.95
272,Saldanha,2,PT,1562653828,82,41.42,-6.55,59.62,3.65
273,Synya,98,RU,1562653830,41,65.37,58.04,63.94,2.95
274,Coihaique,91,CL,1562653765,100,-45.58,-72.07,37.4,1.7
275,Gilgit,0,PK,1562653832,21,35.92,74.31,63.04,3.53
276,San Vicente,75,EC,1562653834,83,-0.59,-80.41,73.4,5.82
277,Evensk,66,RU,1562653835,49,61.92,159.24,67.0,5.55
278,Porbandar,40,IN,1562653837,66,21.64,69.61,91.4,13.87
279,Tuscaloosa,1,US,1562653836,94,33.21,-87.57,78.01,4.27
280,Torbay,20,CA,1562653839,71,47.66,-52.73,61.0,18.34
281,Sawtell,0,AU,1562653841,55,-30.38,153.1,66.2,5.82
282,Hirara,75,JP,1562653842,84,24.8,125.28,87.8,18.34
283,Yeppoon,40,AU,1562653843,47,-23.13,150.74,75.2,9.17
284,Port Hardy,40,CA,1562653845,93,50.7,-127.42,55.4,4.7
285,Iquitos,20,PE,1562653846,88,-3.75,-73.25,71.6,2.24
286,Touros,40,BR,1562653848,94,-5.2,-35.46,71.6,4.7
287,Petropavlovsk-Kamchatskiy,75,RU,1562653849,82,53.05,158.65,55.4,8.95
288,Buala,74,SB,1562653850,82,-8.15,159.59,81.94,13.56
289,Longyearbyen,75,NO,1562653852,81,78.22,15.63,50.0,10.29
290,Caohai,100,CN,1562653853,85,26.87,104.28,59.44,2.66
291,Cayenne,0,GF,1562653854,100,4.94,-52.33,73.4,1.68
292,Bambous Virieux,40,MU,1562653856,74,-20.34,57.76,78.8,4.7
293,Avera,1,US,1562653857,94,33.19,-82.53,82.4,4.7
294,Tezu,100,IN,1562653858,98,27.93,96.16,72.4,0.94
295,Todos Santos,5,MX,1562653860,30,23.45,-110.23,87.01,5.82
296,Tairua,83,NZ,1562653861,79,-37.02,175.85,55.0,7.0
297,Mecca,0,SA,1562653862,25,21.43,39.83,94.18,11.72
298,Clyde River,20,CA,1562653864,93,70.47,-68.59,41.0,8.05
299,Colares,75,PT,1562653865,88,38.8,-9.45,68.0,6.93
300,Ambulu,50,ID,1562653866,81,-8.35,113.61,75.28,18.61
301,Charters Towers,58,AU,1562653868,61,-20.07,146.27,70.96,8.39
302,Sitka,43,US,1562653869,85,37.17,-99.65,73.0,1.99
303,Pizarro,77,CO,1562653870,81,4.95,-77.37,79.06,6.44
304,Tigil,42,RU,1562653872,57,57.8,158.67,62.32,13.06
305,Vaitape,38,PF,1562653873,80,-16.52,-151.75,79.24,17.63
306,Lieksa,87,FI,1562653874,74,63.32,30.02,50.08,11.79
307,Khalkhal,0,IR,1562653876,41,37.62,48.53,69.16,4.52
308,Tete,1,MZ,1562653877,68,-16.16,33.59,66.2,3.36
309,Khorinsk,27,RU,1562653879,31,52.16,109.78,78.16,7.81
310,Den Helder,75,NL,1562653880,67,52.96,4.76,62.01,5.82
311,Sinnamary,93,GF,1562653881,79,5.38,-52.96,80.32,8.93
312,Coruripe,79,BR,1562653883,97,-10.12,-36.18,69.7,5.66
313,Cobourg,1,CA,1562653809,100,43.96,-78.17,64.0,5.88
314,Bukama,63,CD,1562653885,33,-9.2,25.85,64.66,3.13
315,Kapuskasing,5,CA,1562653887,72,49.42,-82.43,62.6,2.24
316,Huilong,36,CN,1562653888,66,31.15,106.5,81.94,0.94
317,Vila Franca do Campo,20,PT,1562653889,77,37.72,-25.43,62.6,2.24
318,Santa Vitoria do Palmar,100,BR,1562653890,88,-33.52,-53.37,47.56,4.9
319,Oussouye,75,SN,1562653892,88,12.49,-16.54,78.8,4.05
320,Kamskiye Polyany,0,RU,1562653893,60,55.43,51.42,68.0,15.66
321,Sao Gabriel da Cachoeira,16,BR,1562653894,92,-0.13,-67.09,69.52,1.14
322,Ossora,89,RU,1562653896,69,59.24,163.07,56.74,3.96
323,Marzuq,72,YE,1562653897,19,14.4,46.47,90.58,2.48
324,Shancheng,100,CN,1562653899,99,26.9,117.17,72.76,1.61
325,Katsuura,75,JP,1562653900,78,33.93,134.5,78.8,5.82
326,Kisangani,100,CD,1562653901,97,0.52,25.21,70.96,0.36
327,Houma,71,CN,1562653903,30,35.63,111.36,83.92,8.57
328,Babushkin,94,RU,1562653904,78,51.72,105.86,52.96,6.11
329,Baykit,97,RU,1562653906,72,61.68,96.39,66.1,9.82
330,Talnakh,75,RU,1562653908,66,69.49,88.39,53.6,22.37
331,Kushima,75,JP,1562653909,78,31.5,131.29,82.99,10.29
332,Cove,1,US,1562653911,78,29.8,-94.84,84.2,6.93
333,Kununurra,39,AU,1562653912,23,-15.77,128.74,87.8,9.17
334,Pocone,0,BR,1562653913,58,-16.26,-56.62,60.88,2.75
335,Bakau,0,GM,1562653914,94,13.48,-16.68,77.0,8.05
336,Patiya,90,BD,1562653635,94,22.3,91.98,78.8,13.87
337,Alta Floresta,7,BR,1562653917,62,-9.87,-56.08,68.98,2.51
338,Mildura,0,AU,1562653919,51,-34.18,142.16,61.0,8.05
339,Bubaque,100,GW,1562653920,78,11.28,-15.83,79.78,9.22
340,Qaqortoq,100,GL,1562653921,24,60.72,-46.03,59.0,21.92
341,Port Lincoln,1,AU,1562653922,74,-34.72,135.86,59.08,19.55
342,Sorland,0,NO,1562653924,67,67.67,12.69,62.6,10.29
343,Sept-Iles,75,CA,1562653895,58,50.2,-66.38,59.0,10.29
344,Hattiesburg,1,US,1562653816,94,31.33,-89.29,80.6,3.36
345,Boa Vista,0,BR,1562653928,88,2.82,-60.67,77.0,3.36
346,Cherskiy,89,RU,1562653929,37,68.75,161.3,74.74,8.68
347,Gambela,96,ET,1562653930,83,8.25,34.59,68.08,4.32
348,Yalvac,0,TR,1562653932,50,38.3,31.18,75.2,9.17
349,Ajdabiya,0,LY,1562653933,77,30.75,20.22,77.8,4.21
350,San Patricio,2,PY,1562653934,86,-26.98,-56.83,47.2,6.6
351,Umm Bab,1,QA,1562653936,15,25.21,50.81,105.8,13.87
352,Eureka,90,US,1562653770,87,40.8,-124.16,60.01,3.36
353,Leshukonskoye,80,RU,1562653938,55,64.9,45.76,56.74,7.52
354,Mulege,0,MX,1562653940,49,26.88,-111.98,83.2,3.11
355,Olinda,75,AU,1562653941,62,-37.84,145.39,57.99,8.05
356,Usinsk,56,RU,1562653942,50,66.0,57.56,59.44,5.14
357,Erenhot,99,CN,1562653944,24,43.65,111.97,82.48,12.91
358,Yarmouth,20,CA,1562653945,82,43.84,-66.12,59.0,10.29
359,Kungurtug,43,RU,1562653947,35,50.6,97.53,74.02,7.83
360,Ambilobe,0,MG,1562653948,59,-13.19,49.05,81.04,4.85
361,Jumla,79,NP,1562653950,71,29.28,82.18,68.44,5.3
362,Peleduy,100,RU,1562653951,28,59.63,112.75,84.64,3.51
363,Opuwo,51,NA,1562653952,17,-18.06,13.84,49.0,8.37
364,General Roca,0,AR,1562653953,100,-39.03,-67.58,33.8,3.36
365,Barranca,85,PE,1562653955,86,-10.75,-77.76,62.68,16.84
366,Aksha,37,RU,1562653956,37,50.28,113.29,76.72,2.37
367,Manggar,38,ID,1562653958,54,-2.88,108.27,87.52,9.15
368,Lamu,1,CN,1562653959,38,35.77,102.37,67.0,2.53
369,Tekeli,84,KZ,1562653960,13,44.86,78.76,97.06,5.39
370,Mazagao,20,BR,1562653962,100,-0.12,-51.29,77.0,2.24
371,Mayahi,100,NE,1562653963,60,13.95,7.67,79.96,12.15
372,Meadow Lake,46,CA,1562653964,95,54.13,-108.44,48.64,3.8
373,Muros,75,ES,1562653966,93,42.77,-9.06,68.0,6.93
374,Cumana,20,VE,1562653968,94,10.46,-64.17,78.8,12.1
